UWI,Fm Name [42] (*=Aliased),Src,MD,SSTVD,TVD,Qual,Time(ms),Rpt,Sym,Hole Angle,Chg Date,Remarks,Desc
05121111000000,CA_NIOBRARA *,CA,"2,922","1,390","2,922",,  ,  ,0,0,5/24/2023,,NIOBRARA - ALIASED TEAM TOP
05121111000000,CA_FT_HAYS *,CA,"3,362",950,"3,362",,  ,  ,0,0,5/24/2023,,FT HAYS - ALIASED TEAM TOP
05121111000000,CA_MOWRY *,CA,"3,722",590,"3,722",,  ,  ,0,0,5/24/2023,,MOWRY - ALIASED TEAM TOP
05121111000000,CA_D_SAND *,CA,"3,824",488,"3,824",,  ,  ,360,0,5/24/2023,233,D SAND - ALIASED TEAM TOP
05121111000000,CA_HUNTSMAN *,CA,"3,849",463,"3,849",,  ,  ,0,0,5/24/2023,,HUNTSMAN - ALIASED TEAM TOP
05121111000000,CA_J_SAND *,CA,"3,870",442,"3,870",,  ,  ,0,0,5/24/2023,,J SAND - ALIASED TEAM TOP
05121111000000,CA_SKULL_CREEK_SH *,CA,"4,044",268,"4,044",,  ,  ,0,0,5/24/2023,,SKULL CREEK SHALE - ALIASED TEAM TOP
05121111000000,CA_LAKOTA_UPPER *,CA,"4,135",177,"4,135",,  ,  ,0,0,5/24/2023,,UPPER LAKOTA - ALIASED TEAM TOP
05121111000000,CA_LAKOTA_LOWER *,CA,"4,220",92,"4,220",,  ,  ,0,0,5/24/2023,,LOWER LAKOTA - ALIASED TEAM TOP
05121111000000,CA_MORRISON,CA,"4,275",37,"4,275",,  ,  ,0,0,5/24/2023,,MORRISON - ALIASED TEAM TOP
05121111000000,CA_FLOWERPOT_SH *,CA,"4,790",-478,"4,790",,  ,  ,0,0,5/24/2023,,FLOWER POT SHALE - ALIASED TEAM TOP
05121111000000,CA_LYONS *,CA,"4,835",-523,"4,835",,  ,  ,0,0,5/24/2023,,LYONS SANDSTONE - ALIASED TEAM TOP
05121111000000,CA_SUMNER_SATANKA *,CA,"4,879",-567,"4,879",,  ,  ,0,0,5/24/2023,,SUMNER/SATANKA - ALIASED TEAM TOP
05121111000000,CA_WOLFCAMP *,CA,"5,146",-834,"5,146",,  ,  ,0,0,5/24/2023,,WOLFCAMP - ALIASED TEAM TOP
05121111000000,CA_STONE_CORRAL *,CA,"4,935",-623,"4,935",,  ,  ,0,0,5/24/2023,,STONE CORRAL TOP
05121111000000,CA_GRANEROS,CA,"3,617",695,"3,617",,  ,  ,0,0,5/24/2023,,GRANEROS TOP
05121111000000,CA_GREENHORN,CA,"3,561",751,"3,561",,  ,  ,0,0,5/24/2023,,GREENHORN LIMESTONE
05121111000000,CA_CARLILE,CA,"3,397",915,"3,397",,  ,  ,0,0,5/24/2023,,CARLILE SHALE
05121111000000,CA_SHARON_SPRINGS,CA,"2,871","1,441","2,871",,  ,  ,0,0,5/24/2023,,CA_SHARON_SPRINGS
05121111000000,CA_DAYCREEK,CA,"4,633",-321,"4,633",,  ,  ,0,0,5/24/2023,,CA_DAYCREEK
05121111000000,CA_NIO_C_CHALK,CA,"3,261","1,051","3,261",,  ,  ,0,0,5/24/2023,,CA_NIO_C_CHALK
